date,title,summary
"Tue, 24 Ma",Iran War Live Updates: Tehran Fires Missile Barrage at Israel After U.S. Claims Progress on Talks,"Israeli officials said missiles launched from Iran had hit Tel Aviv and other parts of the country. President Trump said there had been “very strong talks” with Iran to end the war, though Iranian officials did not confirm that."
"Tue, 24 Ma",How North Korea’s Kim Jong-un Is Using the Iran War to Justify His Nuclear Arsenal,"He delivered a lengthy speech at his country’s rubber-stamp Parliament, declaring that his nuclear power will shield his country from American hostility."
"Tue, 24 Ma",‘What If Donald Shouts at Me?’ Trump Sours on British Leader Over Iran War,President Trump once called Prime Minister Keir Starmer a friend. But Britain’s decision not to join the attacks on Iran has led to merciless mocking by the president.
"Tue, 24 Ma",Pakistan Dials Up Its Information War,"New, friendly media operations and expanded state-run television are pushing Pakistan’s message while independent news outlets face repression."
"Tue, 24 Ma",Government Cuts Gut the Memory of Argentina’s Dirty War,"Fifty years after the military dictatorship, Argentina’s government is defunding human rights groups and promoting a revisionist account of the junta’s crimes."
"Mon, 23 Ma",Canada’s Military Wants to Prove It Can Defend the High Arctic,Canadian soldiers transported M777 howitzers to the High Arctic to show their ability to fight in an increasingly contested part of the world. It did not go as planned.
"Mon, 23 Ma","Sidelined by War With Iran, Gaza Residents Remain in Limbo",The new war has led to panic buying and a surge in food prices for Gazans as they try to recover from Israel’s two-year offensive against Hamas.
"Mon, 23 Ma","Caught Between Two Conflicts, Afghans Flee Iran","The war in Iran is choking off Afghanistan’s main economic lifeline and has forced at least 70,000 Afghan workers and students there back home to a nation embroiled in another conflict."
"Mon, 23 Ma",Taiwan Debates Military Spending as Choices Over U.S. and China Loom,Tensions in the opposition Nationalist Party could surface this week as lawmakers argue over additional defense funding intended to counter Beijing’s growing might.
"Tue, 24 Ma","Trump Delays Threat to Iran, but War Negotiations Are in Early Stage","President Trump postponed his threat to strike power plants in Iran, citing “productive conversations” with the Iranians. But officials said the talks were in an early stage and not substantive."
"Mon, 23 Ma",Here’s What Happened in the War in the Middle East on Monday,Conflicting signals about whether any negotiations to end the fighting were in progress created confusion.
"Tue, 24 Ma",‘Strong Talks’ With Iran?,"President Trump’s latest statements about discussions with Iran don’t necessarily signal an end in sight to the war, but they do buy him some time."
"Mon, 23 Ma","Trump Delays Energy Strikes, but Iran’s Infrastructure Is Already Battered","U.S. and Israeli attacks on power plants and other civilian infrastructure risk escalating the conflict across the region, and angering Iranians who oppose the government."
"Mon, 23 Ma","Energy Crisis Will Not Be Resolved Quickly if War Ends, I.E.A. Chief Warns","Fatih Birol, the leader of the International Energy Agency, said the Iran war was a bigger crisis than the two oil shocks in the 1970s combined."
"Tue, 24 Ma",Colombian Military Plane Crash Kills 66 and Injures Dozens,"A military aircraft transporting 128 people was involved in an accident as it took off from southern Colombia, according to the authorities."
"Mon, 23 Ma",Iran attempted to attack a far-off military base.,
"Mon, 23 Ma",Energy Attacks in War on Iran Could Turn Economic Shock Into Long-Term Damage,A new phase targeting oil and gas infrastructure in the Persian Gulf threatens to hurt businesses and customers around the world for months or even years.
"Mon, 23 Ma",Canada May Need to Lean on the US as Military Threats in the Arctic Rise,"For the past seven decades, Canada has been the junior partner in a military agreement with the United States to protect the Canadian Arctic."
"Mon, 23 Ma","London Arson Attack on Jewish Ambulance Service Investigated as Hate Crime, Police Say",The city’s main police force said it was investigating fires that struck four ambulances as an antisemitic hate crime.
"Mon, 23 Ma",Iranians Fear Trump’s Threat to Strike Power Plants,"With President Trump threatening to strike Iranian power plants, some war-weary civilians are panicking over a possible new debacle."
"Mon, 23 Ma",Trump’s Ultimatum to Iran,"The president’s messages on the war have shifted, but the latest threat might be a sign that he’s moving to a harder stance."
"Mon, 23 Ma",Israel’s Missile Defense Under Scrutiny After Iranian Attack,"Two missiles landed hours apart, wreaking havoc in two towns near a heavily guarded nuclear site in the Negev Desert."
"Mon, 23 Ma",Here’s What Happened in the War in the Middle East on Sunday,"The Israeli military said its campaign against Hezbollah in Lebanon would intensify, while Iran threatened to attack civilian infrastructure if President Trump followed through with an ultimatum."
"Sun, 22 Ma","Attack on a Sudan Hospital Kills Dozens, Head of W.H.O. Says","The group’s director general said 13 children were among those killed in the latest violence in the Darfur region, and he decried the targeting of health care facilities in the civil war."
"Mon, 23 Ma",Iran Responds to Trump’s Energy Threat With Defiance and Warnings of Its Own,"Tehran “will not hesitate in defending its people and its land,” a senior official said, after President Trump threatened to destroy Iranian power plants."
"Sun, 22 Ma",Israel Orders Military to Intensify Demolitions in Southern Lebanon,"Israel Katz, the defense minister, said he ordered troops to destroy more bridges and buildings in southern Lebanon, stoking worries that Israel was widening a military-controlled buffer zone there."
"Sun, 22 Ma",Residents in Southern Israel Are Shaken After Direct Strikes by Iranian Missiles,"Attacks on Saturday injured dozens in Arad and Dimona, two cities closest to Israel’s main nuclear research facility."
"Sun, 22 Ma","On Beirut’s Waterfront, Loss Meets Life, and Luxury, Amid War","Thousands displaced by Israeli strikes on Lebanon’s capital now shelter along the promenade hugging the Mediterranean Sea. They share it with joggers, cyclists and dog walkers, alongside dizzying displays of wealth."
"Sun, 22 Ma",Terror Attacks Haunted This Brussels Community. Now It’s Trying to Move On.,"Molenbeek was branded a hotbed of radicalization after terrorists hit Brussels and Paris a decade ago, but new challenges show that reinvention doesn’t come easy."
"Mon, 23 Ma",Here’s What Happened in the War in the Middle East on Saturday,"An Iranian missile wounded dozens in Dimona, a city near Israel’s main nuclear research facility, as Tehran showed no signs of backing down."
"Sat, 21 Ma","With Fire and Song, Kurds in Turkey Hail the Start of Spring","The Newroz holiday comes at a critical time, as Kurds in Turkey push for peace while their brethren in Syria and Iran fear further conflict."
"Sat, 21 Ma",How the Litani River Shapes the Israel-Hezbollah War,"The 90-mile waterway, back in focus amid Israel’s renewed offensive in Lebanon, could define how far the fighting spreads."
